criterion_id,criterion,score_0_to_5,evidence_url,confidence,notes
A1.1,Color tokens with primitive-semantic-component layers,,,, 
A1.8,Token format and DTCG conformance,,,, 
A1.9,Modern color spaces,,,, 
A2.1,Top 20 component coverage,,,, 
A2.4,Variant and state coverage,,,, 
A3.1,Usage guidelines per component,,,, 
A4.2,RFC process,,,, 
A4.3,Semver discipline,,,, 
A5.4,Storybook or equivalent,,,, 
A5.5,CI/CD for the system itself,,,, 
A6.1,Light/dark mode parity,,,, 
A7.1,Adoption metrics,,,, 
A8.1,Contrast guarantees,,,, 
A9.1,Bundle size budgets,,,, 
A10.3,AI-rules file for agents,,,, 
B1.1,Research method diversity,,,, 
B2.1,Information architecture,,,, 
B3.3,Error prevention and recovery,,,, 
B4.1,Visual hierarchy,,,, 
B5.2,WCAG AA conformance,,,, 
B6.1,Voice and tone documentation,,,, 
B7.1,Heuristic evaluation cadence,,,, 
B8.1,Core Web Vitals,,,, 
B9.1,No-dark-pattern guarantee,,,, 
B10.1,HEART framework adoption,,,, 
